date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:21:50	116/116	U-----	200	untouched ('OK')	text/plain	date:Thu,%2004%20May%202023%2008:15:13%20GMT	http://rumah-kayu2.test/robots.txt		(from )
08:22:40	1250566/1250566	U--MC-	200	updated ('OK')	text/html	date:Fri,%2005%20May%202023%2001:21:46%20GMT	http://rumah-kayu2.test/	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/index.html	(from )
08:22:43	41482/41482	U-----	200	untouched ('OK')	text/css	etag:%22a20a-5fac3f884f379%22	http://rumah-kayu2.test/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.3	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/themes/astra/assets/css/minified/main.mina352.css	(from http://rumah-kayu2.test/)
08:22:44	97517/97517	U-----	200	untouched ('OK')	text/css	etag:%2217ced-5f680c224ed40%22	http://rumah-kayu2.test/wp-includes/css/dist/block-library/style.min.css?ver=6.2	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-includes/css/dist/block-library/style.minae48.css	(from http://rumah-kayu2.test/)
08:22:45	19363/19363	U-----	200	untouched ('OK')	text/css	etag:%224ba3-5fac413783fd8%22	http://rumah-kayu2.test/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from http://rumah-kayu2.test/)
08:22:45	699/699	U-----	200	untouched ('OK')	image/svg+xml	etag:%222bb-5fac439b3b80b%22	http://rumah-kayu2.test/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	(from http://rumah-kayu2.test/)
08:22:45	81269/81269	U-----	200	untouched ('OK')	text/css	etag:%2213d75-5fac4136670fd%22	http://rumah-kayu2.test/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.2	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/plugins/elementor/assets/css/frontend-lite.mine56c.css	(from http://rumah-kayu2.test/)
08:22:45	173775/173775	U-----	200	untouched ('')	image/jpeg	etag:%222a6cf-5fac4d84a365d%22	http://rumah-kayu2.test/wp-content/uploads/2023/05/Ini-Dia-Desain-Rumah-Kayu-Minimalis-Terbaru-Paling-Nyaman.jpg	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/uploads/2023/05/Ini-Dia-Desain-Rumah-Kayu-Minimalis-Terbaru-Paling-Nyaman.jpg	(from http://rumah-kayu2.test/)
08:22:45	700/700	U-----	200	untouched ('')	application/rss+xml	etag:%22c2e7b80ce04d201ec909c73de5afdb68%22	http://rumah-kayu2.test/comments/feed	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/comments/feed	(from http://rumah-kayu2.test/)
08:22:46	16471/16471	U-----	200	untouched ('OK')	text/css	etag:%224057-5fac413831958%22	http://rumah-kayu2.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://rumah-kayu2.test/)
