date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:16	116/116	---M--	200	added ('OK')	text/plain	date:Thu,%2004%20May%202023%2008:15:13%20GMT	http://rumah-kayu2.test/robots.txt		(from )
15:15:24	545555/545555	---MC-	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2008:15:13%20GMT	http://rumah-kayu2.test/	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/index.html	(from )
15:15:26	806/806	---M--	200	added ('OK')	application/rss+xml	etag:%22c2e7b80ce04d201ec909c73de5afdb68%22	http://rumah-kayu2.test/feed	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/feed	(from http://rumah-kayu2.test/)
15:15:27	700/700	---M--	200	added ('OK')	application/rss+xml	etag:%22c2e7b80ce04d201ec909c73de5afdb68%22	http://rumah-kayu2.test/comments/feed	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/comments/feed	(from http://rumah-kayu2.test/)
15:15:27	41482/41482	---M--	200	added ('OK')	text/css	etag:%22a20a-5fac3f884f379%22	http://rumah-kayu2.test/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.3	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/themes/astra/assets/css/minified/main.mina352.css	(from http://rumah-kayu2.test/)
15:15:27	97517/97517	---M--	200	added ('OK')	text/css	etag:%2217ced-5f680c224ed40%22	http://rumah-kayu2.test/wp-includes/css/dist/block-library/style.min.css?ver=6.2	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-includes/css/dist/block-library/style.minae48.css	(from http://rumah-kayu2.test/)
15:15:29	19363/19363	---M--	200	added ('OK')	text/css	etag:%224ba3-5fac413783fd8%22	http://rumah-kayu2.test/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from http://rumah-kayu2.test/)
15:15:29	699/699	---M--	200	added ('OK')	image/svg+xml	etag:%222bb-5fac439b3b80b%22	http://rumah-kayu2.test/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	(from http://rumah-kayu2.test/)
15:15:29	81269/81269	---M--	200	added ('OK')	text/css	etag:%2213d75-5fac4136670fd%22	http://rumah-kayu2.test/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.2	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/plugins/elementor/assets/css/frontend-lite.mine56c.css	(from http://rumah-kayu2.test/)
15:15:30	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-5fac413831958%22	http://rumah-kayu2.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	E:/c/HTML/rumah%20kayu/rumah-kayu2.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://rumah-kayu2.test/)
